Product Name,Specifications,Rating,Price,Brand,RAM,Weight,Selling_Price,Original_Price,Discount_Percent,text
DELL 15 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) 3535 Thin and Light Laptop,"AMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMy Dell (Dell Power Manager,Dell Support Assist)1 Year Onsite Warranty",Not found,"₹41,990₹55,13523% off",DELL,16 GB,Thin and Light,41990.0,5513523.0,5513523.0,"Model: DELL 15 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) 3535 Thin and Light Laptop, RAM: 16 GB, Specs: AMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMy Dell (Dell Power Manager,Dell Support Assist)1 Year Onsite Warranty, Price: 41990.0, Rating: Not found"
"ASUS TUF Gaming F15, 90WHrs Battery Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/...",Intel Core i7 Processor (13th Gen)16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite warranty,4.2,"₹99,990₹1,31,99024% off",ASUS,16 GB,,99990.0,13199024.0,13199024.0,"Model: ASUS TUF Gaming F15, 90WHrs Battery Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/..., RAM: 16 GB, Specs: Intel Core i7 Processor (13th Gen)16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite warranty, Price: 99990.0, Rating: 4.2"
Acer Aspire 3 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,Intel Core i5 Processor (13th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Carry-in Warranty,4.3,"₹38,990₹66,99941% off",Acer,16 GB,Thin and Light,38990.0,6699941.0,6699941.0,"Model: Acer Aspire 3 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light..., RAM: 16 GB, Specs: Intel Core i5 Processor (13th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Carry-in Warranty, Price: 38990.0, Rating: 4.3"
SAMSUNG Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-...,Intel Core i5 Processor (13th Gen)16 GB LPDDR4X RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories,4.5,"₹51,990₹82,78937% off",SAMSUNG,16 GB,,51990.0,8278937.0,8278937.0,"Model: SAMSUNG Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-..., RAM: 16 GB, Specs: Intel Core i5 Processor (13th Gen)16 GB LPDDR4X RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories, Price: 51990.0, Rating: 4.5"
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/128 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,Intel Celeron Dual Core Processor8 GB DDR4 RAM64 bit Windows 11 Home Operating System128 GB SSD29.46 cm (11.6 inch) Display1 Year Warranty,3.8,"₹14,990₹32,99954% off",Acer,8 GB,Thin and Light,14990.0,3299954.0,3299954.0,"Model: Acer Aspire 3 Intel Celeron Dual Core - (8 GB/128 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto..., RAM: 8 GB, Specs: Intel Celeron Dual Core Processor8 GB DDR4 RAM64 bit Windows 11 Home Operating System128 GB SSD29.46 cm (11.6 inch) Display1 Year Warranty, Price: 14990.0, Rating: 3.8"
DELL 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 3520 Thin and Light Laptop,"Intel Core i3 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMy Dell (Dell Power Manager,Dell Support Assist)1 Year Onsite Warranty",4.3,"₹32,990₹48,52932% off",DELL,8 GB,Thin and Light,32990.0,4852932.0,4852932.0,"Model: DELL 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 3520 Thin and Light Laptop, RAM: 8 GB, Specs: Intel Core i3 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMy Dell (Dell Power Manager,Dell Support Assist)1 Year Onsite Warranty, Price: 32990.0, Rating: 4.3"
Acer Aspire 3 Intel Core i3 13th Gen - (8 GB/256 GB SSD/Windows 11 Home) A324-53 Thin and Light Laptop,Intel Core i3 Processor (13th Gen)8 GB DDR4 RAM64 bit Windows 11 Home Operating System256 GB SSD35.56 cm (14 inch) Display1 Year Warranty,4.2,"₹28,990₹39,99027% off",Acer,8 GB,Thin and Light,28990.0,3999027.0,3999027.0,"Model: Acer Aspire 3 Intel Core i3 13th Gen - (8 GB/256 GB SSD/Windows 11 Home) A324-53 Thin and Light Laptop, RAM: 8 GB, Specs: Intel Core i3 Processor (13th Gen)8 GB DDR4 RAM64 bit Windows 11 Home Operating System256 GB SSD35.56 cm (14 inch) Display1 Year Warranty, Price: 28990.0, Rating: 4.2"
ASUS Expertbook P1 Intel Core i7 13th Gen 13620H - (32 GB/512 GB SSD/Windows 11 Home) P1403CVA-S60940W...,"Intel Core i7 Processor (13th Gen)32 GB DDR5 RAMWindows 11 Home Operating System512 GB SSD35.56 cm (14 inch) DisplayMicrosoft Office Home 2024, Microsoft 365 Basic1 Year Onsite Warranty",3.8,"₹68,990₹1,29,99046% off",ASUS,32 GB,,68990.0,12999046.0,12999046.0,"Model: ASUS Expertbook P1 Intel Core i7 13th Gen 13620H - (32 GB/512 GB SSD/Windows 11 Home) P1403CVA-S60940W..., RAM: 32 GB, Specs: Intel Core i7 Processor (13th Gen)32 GB DDR5 RAMWindows 11 Home Operating System512 GB SSD35.56 cm (14 inch) DisplayMicrosoft Office Home 2024, Microsoft 365 Basic1 Year Onsite Warranty, Price: 68990.0, Rating: 3.8"
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/512 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,Intel Celeron Dual Core Processor8 GB DDR4 RAM64 bit Windows 11 Home Operating System512 GB SSD29.46 cm (11.6 inch) Display1 Year Warranty,3.8,"₹17,990₹35,99950% off",Acer,8 GB,Thin and Light,17990.0,3599950.0,3599950.0,"Model: Acer Aspire 3 Intel Celeron Dual Core - (8 GB/512 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto..., RAM: 8 GB, Specs: Intel Celeron Dual Core Processor8 GB DDR4 RAM64 bit Windows 11 Home Operating System512 GB SSD29.46 cm (11.6 inch) Display1 Year Warranty, Price: 17990.0, Rating: 3.8"
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 H...",Intel Core i5 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.2,"₹45,990₹66,99031% off",ASUS,16 GB,,45990.0,6699031.0,6699031.0,"Model: ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 H..., RAM: 16 GB, Specs: Intel Core i5 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty, Price: 45990.0, Rating: 4.2"
HP 15 (2024) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0154AU Thin and Ligh...,AMD Ryzen 3 Quad Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.2,"₹29,990₹45,99534% off",HP,8 GB,,29990.0,4599534.0,4599534.0,"Model: HP 15 (2024) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0154AU Thin and Ligh..., RAM: 8 GB, Specs: AMD Ryzen 3 Quad Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty, Price: 29990.0, Rating: 4.2"
CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,"Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD StorageHard-Decoding 4k@60Hz
Graphics/GPU: UHD Graphics 600
Display: 14.1 inch, 16:9 IPS Display
Touchpad: Larger Touchpad with easy control
Keyboard: Chiclet keyboard keysIntel Celeron Dual Core Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.81 cm (14.1 inch) DisplayWPS Office, Operating System Software1 Year Onsite Warranty",3.7,"₹16,490₹34,99052% off",CHUWI,8 GB,,16490.0,3499052.0,3499052.0,"Model: CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop, RAM: 8 GB, Specs: Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD StorageHard-Decoding 4k@60Hz
Graphics/GPU: UHD Graphics 600
Display: 14.1 inch, 16:9 IPS Display
Touchpad: Larger Touchpad with easy control
Keyboard: Chiclet keyboard keysIntel Celeron Dual Core Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.81 cm (14.1 inch) DisplayWPS Office, Operating System Software1 Year Onsite Warranty, Price: 16490.0, Rating: 3.7"
